X,Y,sigma_xx,sigma_yy,sigma_xy,sigma_1,sigma_3,epsilon_xx,epsilon_yy,epsilon_xy,tau_mob,tau_max,tau_rel,status
0.0,0.53571427,0.042965677,0.044013694,0.0103610875,0.053864017,0.033115357,0.0043866844,0.004659169,0.005387765,0.01037433,2.9133272,0.0035609903,0.0
0.0,1.2857143,0.047136415,0.06421837,0.008179945,0.06750362,0.04385116,0.0035697941,0.008011102,0.004253571,0.011826232,2.9105856,0.0040631797,0.0
0.0,0.85714287,0.043626606,0.03187631,0.0071946895,0.04704021,0.028462706,0.00545369,0.0023986124,0.0037412383,0.0092887515,2.914618,0.0031869533,0.0
0.0,1.0714285,0.05844636,0.029974863,0.0116105825,0.06258076,0.02584047,0.008299197,0.0008966088,0.006037502,0.018370144,2.913165,0.0063059055,0.0
0.0,1.1785715,0.04007169,0.06658557,0.014925164,0.07329127,0.033365987,0.0020993722,0.008992981,0.0077610845,0.019962642,2.911114,0.0068573896,0.0
0.0,0.96428573,0.06858035,0.061505012,0.01201451,0.0775672,0.052518163,0.0076842317,0.0058446443,0.0062475447,0.012524517,2.9084787,0.004306209,0.0
0.0,1.2857143,0.054317303,0.07174122,0.010300641,0.07652005,0.049538467,0.004289933,0.008820152,0.0053563328,0.0134907905,2.9089317,0.004637713,0.0
0.0,2.5714285,0.015328222,0.008628251,0.0058235396,0.01869657,0.0052599027,0.0021167325,0.00037474028,0.0030282403,0.006718334,2.9204156,0.0023004718,0.0
0.0,2.142857,0.058584355,0.052010287,0.005785938,0.06195177,0.048642874,0.0066055492,0.004896292,0.0030086874,0.006654449,2.910671,0.002286225,0.0
0.0,2.357143,0.012931637,0.008973619,0.0050623002,0.016388007,0.005517247,0.0016536154,0.00062453095,0.0026323958,0.0054353797,2.9206464,0.0018610194,0.0
0.0,2.4642856,0.046152715,0.05320337,0.009472044,0.059784852,0.039571233,0.0042499304,0.006083101,0.0049254624,0.010106809,2.911935,0.0034708225,0.0
0.0,2.25,0.07794064,0.054596037,0.008749983,0.080856174,0.051680505,0.009926706,0.0038571076,0.004549991,0.0145878345,2.9082031,0.0050160987,0.0
0.0,2.142857,0.06842525,0.07037371,0.0102461185,0.079691805,0.059107147,0.0069642453,0.007470844,0.005327981,0.010292329,2.9074988,0.0035399254,0.0
0.0,2.142857,0.042295516,0.06699913,0.00936004,0.07014498,0.039149664,0.002471851,0.00889479,0.0048672203,0.015497658,2.9108174,0.00532416,0.0
0.0,1.7142857,0.051559623,0.030202022,0.0100166295,0.05552219,0.026239455,0.0070280926,0.001475117,0.005208647,0.014641367,2.913914,0.0050246394,0.0
